item_id,original_group
item_0031,"Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380"
item_0032,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black"
item_0033,Apple Lightning to Digital AV Adapter
item_0034,"Screen Cleaner Kit - Best for LED & LCD TV, Computer Monitor, Laptop, and iPad Screens ??Contains Over 1,572 Sprays in Each Large 16 Ounce Bottle ??Includes Premium Microfiber Cloth"
item_0035,"NEEWER 50 in 1 Action Camera Accessory Kit Compatible with GoPro Hero 11 10 9 8 7 6 5 4 GoPro Max GoPro Fusion Insta360 DJI Osmo Action Action 2 AKASO, and more"
item_0036,"D-FantiX Battery Tester, Universal Battery Checker Small Battery Testers for AAA AA C D 9V 1.5V Button Cell Household Batteries Model BT-168"
item_0037,"NETGEAR Wi-Fi Range Extender EX6120 - Coverage Up to 1500 Sq Ft and 25 Devices with AC1200 Dual Band Wireless Signal Booster & Repeater (Up to 1200Mbps Speed), and Compact Wall Plug Design, White"
item_0038,"amFilm Screen Protector for iPad Mini 5/iPad Mini 4, Tempered Glass, 1 Pack"
item_0039,"Fujifilm Instax Mini Instant Film, 10 Sheets__5 Pack(Total 50 Shoots)"
item_0040,"Logitech M510 Wireless Computer Mouse ??Comfortable Shape with USB Unifying Receiver, Back/Forward Buttons and Side-to-Side Scrolling - Red"
item_0041,"Bluetooth Audio Adapter for Music Streaming Sound System, esinkin W29-us Wireless Audio Adapter Works with Smart Phones and Tablets, Wireless Adapter for Speakers"
item_0042,"Apple Magic Mouse 2 (Wireless, Rechargable) - Silver"
item_0043,"sephia SP3060 Earbuds - HD Bass Driven Audio, Lightweight Aluminum in Ear Headphone, S/M/L Ear Bud Tips, Earphone Case, 3.5mm Tangle-Free Cord - for Music, Podcasts, and More (Without Mic)"
item_0044,"Amazon Basics HDMI to DVI Adapter Cable, Bi-Directional 1080p, Gold Plated, Black, 3 Feet, 1-Pack"
item_0045,NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer Monitors(Within 4.4lbs to 19.8lbs) F80
item_0046,SAMSUNG TV Remote Control BN59-01199F by Samsung
item_0047,"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black"
item_0048,"YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance"
item_0049,Universal Remote Control for Most Samsung LCD LED HDTV 3D Smart Home Entertainment TVs (One pcs)
item_0050,"Fintie Rotating Case for iPad 6th / 5th Generation (2018 2017 Model, 9.7 inch), iPad Air 2 / iPad Air 1-360 Degree Rotating Protective Stand Cover Auto Sleep Wake, Composition Book"
item_0051,"Cellet Car Cup Holder Phone Mount Compatible for Apple iPhone 14 13 Pro Max Mini 12 SE Galaxy S22 S21 S20 Note 20 0 LG Motorola Moto, Google Pixel (Fit for Tesla Model 3 and Y)- Extra Long Neck"
item_0052,"Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black"
item_0053,"iFixit Pro Tech Toolkit - Electronics, Smartphone, Computer & Tablet Repair Kit"
item_0054,"Amazon Basics 3.5mm Aux Jack Audio Extension Cable, Male to Female, Adapter for Headphone or Smartphone, 6 Foot, Black"
item_0055,"JETech Case for iPad Air 1st Edition (NOT for iPad Air 2/3/4/5), 9.7 Inch, Smart Cover with Auto Wake/Sleep (Dark Grey)"
item_0056,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26-55 Inch TVs and Flat Panels up to 80 Lbs, Black"
item_0057,"Amazon Basics 5-Pack DisplayPort to HDMI Display Cable, Uni-Directional, 1920x1200, 1080p, Gold-Plated Plugs, 3 Foot, Black"
item_0058,"RCA to HDMI, GANA 1080P Mini RCA Composite CVBS AV to HDMI Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS4 PS3 TV STB VHS VCR Camera DVD (Black)"
item_0059,"UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad 10.2, iPad Pro 11 Inch, iPad 9.7, iPad Mini 5 4 3 2 iPad Air iPhone 14 13 12 Black"
item_0060,"NEEWER Ring Light Kit: 18""/48cm Outer 55W 5600K Dimmable LED Ring Light, Light Stand, Carrying Bag for Camera, Smartphone, YouTube, TikTok, Self Portrait Shooting, Black"
item_0061,Apple Lightning to 3.5 mm Headphone Jack Adapter
item_0062,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone"
item_0063,"Handsfree Call Car Charger,Wireless Bluetooth FM Transmitter Radio Receiver,Mp3 Audio Music Stereo Adapter,Dual USB Port Charger Compatible for All Smartphones,Samsung Galaxy,LG,HTC,etc."
item_0064,"TECKNET Wireless Mouse, 2.4G USB Computer Mouse with 6-Level Adjustable 3200 DPI, 30 Months Battery, Ergonomic Grips, 6 Buttons Portable for PC, Chromebook, Mac - Red"
item_0065,"Betron BS10 Earphones Wired Headphones in Ear Noise Isolating Earbuds with Microphone and Volume Control Powerful Bass Driven Sound, 12mm Large Drivers, Ergonomic Design"
item_0066,"Amazon Basics 3.5mm Aux to 2 RCA Adapter Audio Cable for Stereo Speaker or Subwoofer with Gold-Plated Plugs, 8 Foot, Black"
item_0067,"Emergency Hand Crank Radio with LED Flashlight for Emergency, AM/FM NOAA Portable Weather Radio with 2000mAh Power Bank Phone Charger, USB Charged & Solar Power for Camping, Emergency"
item_0068,"Upgraded, Anker Soundcore Boost Bluetooth Speaker with Well-Balanced Sound, BassUp, 12H Playtime, USB-C, IPX7 Waterproof, Wireless Speaker with Customizable EQ via App, Wireless Stereo Pairing"
item_0069,"Amazon Basics Toslink Digital Optical Audio Cable, Multi-Channel, for Audio System, Sound Bar, Home Theatre, Gold-Plated Connectors, 9.8 Foot, Black"
item_0070,"fire-Cable Plus Wireless Adapter, Powers Streaming TV Sticks Directly from TV USB Port (Eliminates AC Outlet and Cords)"
item_0071,"HDMI Switch, GANA 4K HDMI Splitter 3 in 1 Out, 3-Port HDMI Switcher Selector with Pigtail HDMI Cable,Supports Full HD 4K 1080P 3D Player, HDMI Hub Compatible with Fire Stick,HDTV,PS4 Game Consoles,PC"
item_0072,"Amazon Basics USB Type-C to USB-A 2.0 Male Charger Cable, 6 Feet (1.8 Meters), White, Laptop"
item_0073,"Jiusion 40 to 1000x Magnification Endoscope, 8 LED USB 2.0 Digital Microscope, Mini Camera with OTG Adapter and Metal Stand, Compatible with Mac Windows 7 8 10 11 Android Linux"
item_0074,"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds"
item_0075,XRT112 Replacement Remote Control fit for Vizio Smart Internet LED TV with Netflix/iHeart APP Keys
item_0076,"The Bose SoundLink Revolve, the Portable Bluetooth Speaker with 360 Wireless Surround Sound, Lux Gray"
item_0077,"Fintie Case for iPad 9.7 2018 2017 / iPad Air 2 / iPad Air 1 - [Corner Protection] Multi-Angle Viewing Folio Cover w/Pocket, Auto Wake/Sleep for iPad 6th / 5th Generation, Ocean Marble"
